,model,f1_score,test_accuracy
0,r/Fitness,0.9792941,0.97614384
1,r/technology,0.9196623,0.94120425
2,r/LifeProTips,0.9576305,0.9700122
3,r/books,0.96787196,0.9769272
4,r/Foodforthought,0.9991578,0.9994123
5,r/sports,0.9878752,0.9912916
6,r/femalefashionadvice,0.99447036,0.9961065
7,r/lifehacks,0.99347275,0.9955908
8,r/space,0.9786739,0.9839866
9,r/socialskills,0.99120796,0.99404854
10,r/history,0.99774617,0.9983452
11,r/EatCheapAndHealthy,0.9922885,0.9947525
12,r/UpliftingNews,0.98622507,0.9904002
13,r/gardening,0.9792017,0.9850274
14,r/changemyview,0.9617798,0.9734478
15,r/IWantToLearn,0.99868244,0.9991137
16,r/Documentaries,0.993135,0.99520826
17,r/mildlyinteresting,0.9074341,0.9348269
18,r/buildapc,0.9487635,0.9606699
19,r/AskHistorians,0.9961787,0.99707365
20,r/todayilearned,0.92021495,0.9456629
21,r/Fantasy,0.98062474,0.9846909
22,r/explainlikeimfive,0.96734154,0.97641516
23,r/programming,0.9903235,0.9929535
24,r/malefashionadvice,0.9931899,0.9950072
25,r/suggestmeabook,0.9783918,0.9836815
26,r/gadgets,0.98644567,0.9907435
27,r/IAmA,0.99415845,0.9958697
28,r/DIY,0.9912157,0.9932635
29,r/gaming,0.81756014,0.8598729
30,r/WritingPrompts,0.9925832,0.99435115
31,r/bodyweightfitness,0.9962961,0.99723846
32,r/personalfinance,0.95455223,0.9675357
33,r/GetMotivated,0.9941098,0.99601686
34,r/Damnthatsinteresting,0.8472631,0.8938948
35,r/philosophy,0.99663734,0.99768406
36,r/travel,0.9861381,0.9896482
37,r/askscience,0.9960673,0.9973277
38,r/YouShouldKnow,0.9906196,0.993351
39,r/podcasts,0.99755704,0.9982799
40,r/tifu,0.96179557,0.973274
41,r/science,0.9669998,0.976698
42,r/scifi,0.9944797,0.99618864
43,r/Showerthoughts,0.9284936,0.94600415
44,r/boardgames,0.98168063,0.98476785
45,r/SkincareAddiction,0.9839185,0.9861536
46,r/bestof,0.99508816,0.99668753
47,r/ifyoulikeblank,0.9956988,0.9969333
48,r/Games,0.964708,0.9746212
